Connection Type,"Latency (Avg, Std Dev) for `SELECT 1;`","Latency (Avg, Std Dev) for `SELECT * FROM person_info;`","Latency (Avg, Std Dev) for `SELECT * FROM person_info WHERE id = 123456;`"
gRPC,"(0.00238936770439148, 9.777054841571671e-05)","(0.0031492078781127928, 3.76332089774272e-05)","(0.0025712921237945555, 6.655106918596506e-05)"
Flight SQL ODBC,"(0.004741804399490357, 0.0005377422641808029)","(0.00461050763130188, 0.0006711374004269796)","(0.004364020776748657, 0.0006761977676204465)"
SQLite,"(1.9262313842773438e-06, 7.600088804138953e-07)","(9.715862274169922e-06, 5.4704336169576624e-08)","(6.871790885925293e-06, 1.8517476837751036e-06)"
